nom du site;nom du thème;nom du type de données
bdz/bm1;meteosol;meteosol_infraj
bdz/pz1;hydrocarto;piezo_infraj
bdz/pz10;hydrocarto;piezo_infraj
bdz/pz2;hydrocarto;piezo_infraj
bdz/pz3;hydrocarto;piezo_infraj
bdz/pz4;hydrocarto;piezo_infraj
bdz/pz5;hydrocarto;piezo_infraj
bdz/pz6;hydrocarto;piezo_infraj
bdz/pz7;hydrocarto;piezo_infraj
bdz/pz8;hydrocarto;piezo_infraj
bdz/pz9;hydrocarto;piezo_infraj
bdz/ch1;ges;chambreco2_infraj
bdz/ch10;ges;chambreco2_infraj
bdz/ch2;ges;chambreco2_infraj
bdz/ch3;ges;chambreco2_infraj
bdz/ch4;ges;chambreco2_infraj
bdz/ch5;ges;chambreco2_infraj
bdz/ch6;ges;chambreco2_infraj
bdz/ch7;ges;chambreco2_infraj
bdz/ch8;ges;chambreco2_infraj
bdz/ch9;ges;chambreco2_infraj
frn/bm1;meteosol;meteosol_infraj
frn/ec1;ges;eddycovariance_sh
ldm/bm1;meteosol;meteosol_infraj
ldm/ec1;ges;eddycovariance_sh
lgt/bm1;meteosol;meteosol_infraj
lgt/bm2;meteosol;meteosol_infraj
lgt/ec1;ges;eddycovariance_sh
lgt/pz_cbdv_amont;hydrocarto;piezo_infraj
lgt/pz_cbdv_aval;hydrocarto;piezo_infraj
lgt/pz_dc;hydrocarto;piezo_infraj
lgt/pz_do;hydrocarto;piezo_infraj
lgt/pz_wc;hydrocarto;piezo_infraj
lgt/pz_wo;hydrocarto;piezo_infraj
lgt/bm1;meteosol;meteosol_sh
ldm/bm1;meteosol;meteosol_sh
lgt/sm_exutoire;biogeo;doc_infraj
